X;Y;ID;ESTACION;LINEA;BARRIO;COMUNA
-58.3989275853601;-34.635750180343;1;CASEROS;H;PARQUE PATRICIOS;COMUNA 04
-58.4009695560165;-34.6293756575728;2;INCLAN;H;PARQUE PATRICIOS;COMUNA 04
-58.402322730424;-34.6230923205019;3;HUMBERTO 1°;H;SAN CRISTOBAL;COMUNA 03
-58.40473171649;-34.6152421522706;4;VENEZUELA;H;BALVANERA;COMUNA 03
-58.4060363810352;-34.6089352416216;5;ONCE - 30 DE DICIEMBRE;H;BALVANERA;COMUNA 03
-58.3805743428896;-34.6042452029629;6;9 DE JULIO;D;SAN NICOLAS;COMUNA 01
-58.3979237555734;-34.5997570807639;7;FACULTAD DE MEDICINA;D;BALVANERA;COMUNA 03
-58.3851423588013;-34.6015871651394;8;TRIBUNALES - TEATRO COLON;D;RECOLETA;COMUNA 02
-58.4071613201899;-34.5916278437199;9;AGUERO;D;CABALLITO;COMUNA 06
-58.4159554190067;-34.5851559440494;10;R.SCALABRINI ORTIZ;D;PALERMO;COMUNA 14
-58.4211960101264;-34.5814111936045;11;PLAZA ITALIA;D;PALERMO;COMUNA 14
-58.4257114411124;-34.5784220227904;12;PALERMO;D;PALERMO;COMUNA 14
-58.3740182164816;-34.5911938083332;13;RETIRO;C;RETIRO;COMUNA 01
-58.3781557828244;-34.6017699230114;14;LAVALLE;C;SAN NICOLAS;COMUNA 01
-58.3795299800739;-34.6048437399141;15;DIAGONAL NORTE;C;SAN NICOLAS;COMUNA 01
-58.3806107179579;-34.6089833148827;16;AV. DE MAYO;C;MONSERRAT;COMUNA 01
-58.3804444696601;-34.6126172798037;17;MORENO;C;MONSERRAT;COMUNA 01
-58.3801736104752;-34.6181255992933;18;INDEPENDENCIA;C;CONSTITUCION;COMUNA 01
-58.3814344339343;-34.6276194522548;19;CONSTITUCION;C;CONSTITUCION;COMUNA 01
-58.3750715182636;-34.6032972855775;20;FLORIDA;B;SAN NICOLAS;COMUNA 01
-58.3807148471409;-34.6036371051817;21;C. PELLEGRINI;B;SAN NICOLAS;COMUNA 01
-58.3872961335408;-34.6040935531057;22;URUGUAY;B;SAN NICOLAS;COMUNA 01
-58.3923142350888;-34.6044195428608;23;CALLAO;B;BALVANERA;COMUNA 03
-58.399474256679;-34.6046429679193;24;PASTEUR - AMIA;B;BALVANERA;COMUNA 03
-58.4053994398434;-34.6045810553512;25;PUEYRREDON;B;BALVANERA;COMUNA 03
-58.4117625996321;-34.6040795173475;26;CARLOS GARDEL;B;BALVANERA;COMUNA 03
-58.4209624702706;-34.6031649010973;27;MEDRANO;B;ALMAGRO;COMUNA 05
-58.4312738603246;-34.6021622293427;28;ANGEL GALLARDO;B;ALMAGRO;COMUNA 05
-58.4397714984155;-34.5989673641588;29;MALABIA - OSVALDO PUGLIESE;B;VILLA CRESPO;COMUNA 15
-58.4475730925312;-34.5917181536198;30;DORREGO;B;CHACARITA;COMUNA 15
-58.3742677264305;-34.6085590738533;31;PERU;A;MONSERRAT;COMUNA 01
-58.3790851530909;-34.608881721215;32;PIEDRAS;A;MONSERRAT;COMUNA 01
-58.3822324010182;-34.6090998065519;33;LIMA;A;MONSERRAT;COMUNA 01
-58.3867771940873;-34.6094125865027;34;SAENZ PEÑA;A;MONSERRAT;COMUNA 01
-58.3926688246649;-34.6092256843174;35;CONGRESO;A;BALVANERA;COMUNA 03
-58.3984269918123;-34.6096459617053;36;PASCO;A;BALVANERA;COMUNA 03
-58.401207534233;-34.6098335784398;37;ALBERTI;A;BALVANERA;COMUNA 03
-58.4067071165088;-34.6098172456706;38;PLAZA DE MISERERE;A;BALVANERA;COMUNA 03
-58.4151857088376;-34.6107816904504;39;LORIA;A;ALMAGRO;COMUNA 05
-58.4218156713706;-34.6117702291255;40;CASTRO BARROS;A;ALMAGRO;COMUNA 05
-58.4295003232997;-34.6152056103312;41;RIO DE JANEIRO;A;ALMAGRO;COMUNA 05
-58.4364285288494;-34.6182799671446;42;ACOYTE;A;CABALLITO;COMUNA 06
-58.4411776251109;-34.6204052128589;43;PRIMERA JUNTA;A;CABALLITO;COMUNA 06
-58.3736842241685;-34.6092424288608;44;BOLIVAR;E;MONSERRAT;COMUNA 01
-58.3775808865406;-34.6128491058186;45;BELGRANO;E;MONSERRAT;COMUNA 01
-58.3815349417123;-34.6179373939772;46;INDEPENDENCIA;E;CONSTITUCION;COMUNA 01
-58.3851485496238;-34.6223394919367;47;SAN JOSE;E;CONSTITUCION;COMUNA 01
-58.3915116999715;-34.6227196661278;48;ENTRE RIOS - RODOLFO WALSH;E;SAN CRISTOBAL;COMUNA 03
-58.3970680746626;-34.6231098657791;49;PICHINCHA;E;SAN CRISTOBAL;COMUNA 03
-58.4029365802561;-34.6238657115835;50;JUJUY;E;SAN CRISTOBAL;COMUNA 03
-58.4093907834436;-34.6246537864662;51;URQUIZA;E;SAN CRISTOBAL;COMUNA 03
-58.4338162502395;-34.6280175487742;52;JOSE MARIA MORENO;E;PARQUE CHACABUCO;COMUNA 07
-58.4421707059653;-34.6310418421655;53;EMILIO MITRE;E;PARQUE CHACABUCO;COMUNA 07
-58.4112939013936;-34.5882371084182;54;BULNES;D;PALERMO;COMUNA 14
-58.4023953425351;-34.5944257186285;55;PUEYRREDON;D;BALVANERA;COMUNA 03
-58.3931251809727;-34.599639552419;56;CALLAO;D;BALVANERA;COMUNA 03
-58.3778190509867;-34.5950574047791;57;SAN MARTIN;C;RETIRO;COMUNA 01
-58.3799211788651;-34.6219167322081;58;SAN JUAN;C;CONSTITUCION;COMUNA 01
-58.4502782563709;-34.6363891893858;59;MEDALLA MILAGROSA;E;PARQUE CHACABUCO;COMUNA 07
-58.4267890228972;-34.627015467002;60;AV. LA PLATA;E;PARQUE CHACABUCO;COMUNA 07
-58.4155328189678;-34.6253661058926;61;BOEDO;E;BOEDO;COMUNA 05
-58.4350135337339;-34.5751783641113;62;MINISTRO CARRANZA;D;PALERMO;COMUNA 14
-58.4446681483349;-34.5700123078257;63;OLLEROS;D;PALERMO;COMUNA 14
-58.452125603389;-34.5662152421589;64;JOSE HERNANDEZ;D;COLEGIALES;COMUNA 13
-58.456489134589;-34.5623090869975;65;JURAMENTO;D;BELGRANO;COMUNA 13
-58.455029286281;-34.5871978529904;66;FEDERICO LACROZE;B;CHACARITA;COMUNA 15
-58.4616517616898;-34.6433121624098;67;PLAZA DE LOS VIRREYES - EVA PERON;E;FLORES;COMUNA 07
-58.4578917557731;-34.640137352298;68;VARELA;E;FLORES;COMUNA 07
-58.3739558069511;-34.6078023364289;69;CATEDRAL;D;SAN NICOLAS;COMUNA 01
-58.3709684989674;-34.6088103091689;70;PLAZA DE MAYO;A;MONSERRAT;COMUNA 01
-58.4623784082243;-34.5556417664261;71;CONGRESO DE TUCUMAN;D;BELGRANO;COMUNA 13
-58.3699298501225;-34.6029894966332;72;LEANDRO N. ALEM;B;SAN NICOLAS;COMUNA 01
-58.4662272046922;-34.5840946201161;73;TRONADOR - VILLA ORTUZAR;B;VILLA ORTUZAR;COMUNA 15
-58.4742408261771;-34.5812488459579;74;DE LOS INCAS -PQUE. CHAS;B;VILLA ORTUZAR;COMUNA 15
-58.4567097975238;-34.6266665931803;75;CARABOBO;A;FLORES;COMUNA 07
-58.4486476540264;-34.6235289528894;76;PUAN;A;CABALLITO;COMUNA 06
-58.4054503284842;-34.6044902016081;77;CORRIENTES;H;BALVANERA;COMUNA 03
-58.4057948259686;-34.6384059882851;78;PARQUE PATRICIOS;H;PARQUE PATRICIOS;COMUNA 04
-58.4123851512005;-34.6412689433909;79;HOSPITALES;H;PARQUE PATRICIOS;COMUNA 04
-58.4810135036721;-34.5777973775423;80;ECHEVERRIA;B;VILLA URQUIZA;COMUNA 12
-58.4863853478891;-34.5743189142748;81;JUAN MANUEL DE ROSAS - VILLA URQUIZA;B;VILLA URQUIZA;COMUNA 12
-58.4696396292247;-34.630707087006;83;SAN PEDRITO;A;FLORES;COMUNA 07
-58.4635405106287;-34.629087226797;82;SAN JOSE DE FLORES;A;FLORES;COMUNA 07
-58.4037214964387;-34.5984551117734;84;CORDOBA;H;BALVANERA;COMUNA 03
-58.3972155751019;-34.5874615464262;85;LAS HERAS;H;RECOLETA;COMUNA 02
-58.402376175035;-34.5945253962188;86;SANTA FE - CARLOS JAUREGUI;H;RECOLETA;COMUNA 02
