PUNTO;COMUNA;ANIO;MES;SEMANA;VIDRIO;PAPEL /CARTON/TETRA;PLASTICOS;PLASTICO PET;TELGOPOR;METAL;AVU'S;AED
PLAZA ARENALES;COMUNA 11;2017;ENERO;1;1252484;1873187;326715;305512;14563;66236;;530706
PLAZA ARENALES;COMUNA 11;2017;ENERO;2;912313;1572099;327699;290772;16333;36843;;332082
PLAZA ARENALES;COMUNA 11;2017;ENERO;3;540132;896512;165791;116471;11173;35632;;297765
PLAZA ARENALES;COMUNA 11;2017;ENERO;4;414006;858151;170712;81181;12606;32276;;261873
PLAZA ARENALES;COMUNA 11;2017;FEBRERO;1;555157;1219855;206120;177856;8634;25828;;279131
PLAZA ARENALES;COMUNA 11;2017;FEBRERO;2;340207;550238;119554;118059;6927;15669;;278852
PLAZA ARENALES;COMUNA 11;2017;FEBRERO;3;645792;1358226;336242;90987;8874;29555;;305732
PLAZA ARENALES;COMUNA 11;2017;FEBRERO;4;499986;992379;354841;;5338;45010;;361311
PLAZA ARENALES;COMUNA 11;2017;MARZO;1;692273;1459233;463276;8840;8922;43358;;331328
PLAZA ARENALES;COMUNA 11;2017;MARZO;2;594123;1054821;352818;;30636;27693;;314762
PLAZA ARENALES;COMUNA 11;2017;MARZO;3;546920;972931;292824;14013;14253;24302;;302686
PLAZA ARENALES;COMUNA 11;2017;MARZO;4;428034;941014;272986;13517;6785;28010;;228730
PLAZA ARENALES;COMUNA 11;2017;MARZO;5;296418;854845;249536;;7658;25180;;345062
PLAZA ARENALES;COMUNA 11;2017;ABRIL;1;305431;713476;222491;;4620;25582;;212282
PLAZA ARENALES;COMUNA 11;2017;ABRIL;2;453976;930081;326677;;5931;52840;;342449
PLAZA ARENALES;COMUNA 11;2017;ABRIL;3;407752;1220687;387956;;9996;22791;;392438
PLAZA ARENALES;COMUNA 11;2017;ABRIL;4;498832;1113643;336108;;14420;40995;;397017
PLAZA ARENALES;COMUNA 11;2017;MAYO;1;452107;750509;286124;;57219;29234;;390407
PLAZA ARENALES;COMUNA 11;2017;MAYO;2;507237;1099239;391527;;13330;53107;;447305
PLAZA ARENALES;COMUNA 11;2017;MAYO;3;493943;1039053;344480;;11762;43605;;408087
PLAZA ARENALES;COMUNA 11;2017;MAYO;4;462875;1344656;309780;;8402;25628;;318202
PLAZA ARENALES;COMUNA 11;2017;JUNIO;1;473958;1205677;370581;;28527;27606;;236652
PLAZA ARENALES;COMUNA 11;2017;JUNIO;2;553864;1010097;328944;;7306;22768;;366203
PLAZA ARENALES;COMUNA 11;2017;JUNIO;3;359183;507662;238776;;6695;17133;;206054
PLAZA ARENALES;COMUNA 11;2017;JUNIO;4;476429;831385;298646;;18131;25876;;322461
PARQUE CENTENARIO;COMUNA 6;2017;ENERO;1;466044;724171;234753;127388;7425;24206;;283182
PARQUE CENTENARIO;COMUNA 6;2017;ENERO;2;250126;690003;193208;98250;8103;25828;;199705
PARQUE CENTENARIO;COMUNA 6;2017;ENERO;3;294757;618115;125192;103330;8431;30059;;255355
PARQUE CENTENARIO;COMUNA 6;2017;ENERO;4;446182;707284;271338;130788;10048;54169;;369054
PARQUE CENTENARIO;COMUNA 6;2017;FEBRERO;1;290789;610124;175733;88110;4832;19823;;195577
PARQUE CENTENARIO;COMUNA 6;2017;FEBRERO;2;194870;597588;134764;87788;3374;13312;;187816
PARQUE CENTENARIO;COMUNA 6;2017;FEBRERO;3;373898;690878;170405;84988;9807;22177;;310343
PARQUE CENTENARIO;COMUNA 6;2017;FEBRERO;4;348023;655140;153368;73406;5261;20639;;251676
PARQUE CENTENARIO;COMUNA 6;2017;MARZO;1;370376;710330;247708;152454;7348;46111;;343140
PARQUE CENTENARIO;COMUNA 6;2017;MARZO;2;1289031;765577;226847;99761;14869;32524;;216116
PARQUE CENTENARIO;COMUNA 6;2017;MARZO;3;322680;931443;210293;88858;5662;29403;;306733
PARQUE CENTENARIO;COMUNA 6;2017;MARZO;4;257286;601206;253976;74341;5459;26139;;124613
PARQUE CENTENARIO;COMUNA 6;2017;MARZO;5;245288;397000;113615;67806;8437;10639;;128418
PARQUE CENTENARIO;COMUNA 6;2017;ABRIL;1;304237;560005;184926;39009;10259;20971;;183185
PARQUE CENTENARIO;COMUNA 6;2017;ABRIL;2;438165;646867;289015;1362;5677;19106;;164951
PARQUE CENTENARIO;COMUNA 6;2017;ABRIL;3;353360;594933;264608;;6293;35944;;370036
PARQUE CENTENARIO;COMUNA 6;2017;ABRIL;4;379804;641650;262155;;;27650;;251982
PARQUE CENTENARIO;COMUNA 6;2017;MAYO;1;293620;427125;274050;;4265;20591;;302018
PARQUE CENTENARIO;COMUNA 6;2017;MAYO;2;345507;488246;335739;;10521;33653;;165812
PARQUE CENTENARIO;COMUNA 6;2017;MAYO;3;317499;496718;240618;;5643;33300;;336652
PARQUE CENTENARIO;COMUNA 6;2017;MAYO;4;219852;464134;274974;;2833;24921;;451055
PARQUE CENTENARIO;COMUNA 6;2017;JUNIO;1;337891;550015;365446;;5447;31253;;324375
PARQUE CENTENARIO;COMUNA 6;2017;JUNIO;2;294786;599629;310269;;7009;24471;;307677
PARQUE CENTENARIO;COMUNA 6;2017;JUNIO;3;264330;420735;337588;;3555;23388;;183196
PARQUE CENTENARIO;COMUNA 6;2017;JUNIO;4;393398;611648;307367;;7074;30016;;284780
