TMI,BARRIO,DIRECCION
1282,Mataderos,Av. Eva Perón 5251
1283,Liniers,Lisandro de la Torre 39
1284,Vélez Sarsfield,Av. Segurola 726
1286,Nueva Pompeya,Quilmes 436
1289,Belgrano,Av. Juramento 2427
1291,Parque Patricios,Av. Caseros 2526
1292,Parque Avellaneda,Remedios 3761
1296,Villa Devoto,Av. Francisco Beiró 3994
1295,Villa Urquiza,Congreso 4364
1305,Almagro,Av. Rivadavia 3883
1304,Balvanera,Corrientes 2937
1313,Palermo,Av. Santa Fe 3259
1314,Recoleta,Av. Santa Fe 1748
1315,Caballito,Av. José María Moreno 121
1316,Flores,Av. San Pedrito 60
1318,San Nicolás,Viamonte 808
